log_id,song_id,platform,play_timestamp,territory,duration_played,reported_by
LOG00000001,SONG000001,Spotify,2025-01-15T08:23:45,US,245,PartnerSync
LOG00000002,SONG000042,Apple Music,2025-01-15T09:12:33,UK,312,DirectFeed
LOG00000003,SONG000015,KROQ-FM,2025-01-15T10:00:00,US,198,ManualUpload
LOG00000004,SONG000089,YouTube Music,2025-01-15T10:45:22,DE,267,APIIngestion
LOG00000005,SONG000023,Pandora,2025-01-15T11:30:15,US,189,PartnerSync
LOG00000006,SONG000001,Amazon Music,2025-01-15T12:15:00,CA,245,DirectFeed
LOG00000007,SONG000056,iHeartRadio,2025-01-15T13:00:45,US,223,ManualUpload
LOG00000008,SONG000078,SiriusXM,2025-01-15T14:22:18,US,301,APIIngestion
LOG00000009,SONG000034,Madison Square Garden,2025-01-15T20:30:00,US,256,ManualUpload
LOG00000010,SONG000012,BBC Radio 1,2025-01-15T16:45:00,UK,178,PartnerSync
LOG00000011,SONG000045,Spotify,2025-01-15T17:12:33,FR,234,DirectFeed
LOG00000012,SONG000067,Z100,2025-01-15T18:00:00,US,212,ManualUpload
LOG00000013,SONG000023,The Forum,2025-01-15T21:15:00,US,289,APIIngestion
LOG00000014,SONG000089,Capital FM,2025-01-15T19:30:22,UK,198,PartnerSync
LOG00000015,SONG000001,Spotify,2025-01-16T08:00:15,JP,245,DirectFeed
LOG00000016,SONG000056,Apple Music,2025-01-16T09:23:45,AU,223,APIIngestion
LOG00000017,SONG000034,YouTube Music,2025-01-16T10:15:00,BR,256,PartnerSync
LOG00000018,SONG000078,Amazon Music,2025-01-16T11:45:33,MX,301,DirectFeed
LOG00000019,SONG000012,Pandora,2025-01-16T12:30:00,US,178,ManualUpload
LOG00000020,SONG000045,iHeartRadio,2025-01-16T13:12:45,US,234,APIIngestion
LOG00000021,SONG000001,Red Rocks Amphitheatre,2025-01-16T20:00:00,US,245,ManualUpload
LOG00000022,SONG000067,Spotify,2025-01-16T15:00:22,KR,212,PartnerSync
LOG00000023,SONG000023,SiriusXM,2025-01-16T16:45:18,US,289,DirectFeed
LOG00000024,SONG000089,Apple Music,2025-01-16T17:30:00,IN,198,APIIngestion
LOG00000025,SONG000042,KIIS-FM,2025-01-16T18:15:33,US,312,ManualUpload
LOG00000026,SONG000015,Spotify,2025-01-17T08:45:00,ES,198,PartnerSync
LOG00000027,SONG000056,YouTube Music,2025-01-17T09:30:22,IT,223,DirectFeed
LOG00000028,SONG000034,Pandora,2025-01-17T10:12:45,US,256,APIIngestion
LOG00000029,SONG000078,Amazon Music,2025-01-17T11:00:00,NL,301,ManualUpload
LOG00000030,SONG000001,Apple Music,2025-01-17T12:23:15,SE,245,PartnerSync
LOG00000031,SONG000012,iHeartRadio,2025-01-17T13:45:33,US,178,DirectFeed
LOG00000032,SONG000045,Staples Center,2025-01-17T20:30:00,US,234,ManualUpload
LOG00000033,SONG000067,SiriusXM,2025-01-17T15:15:00,CA,212,APIIngestion
LOG00000034,SONG000023,Spotify,2025-01-17T16:00:22,UK,289,PartnerSync
LOG00000035,SONG000089,Z100,2025-01-17T17:30:45,US,198,DirectFeed
LOG00000036,SONG000042,Amazon Music,2025-01-17T18:12:00,DE,312,APIIngestion
LOG00000037,SONG000015,YouTube Music,2025-01-18T08:23:33,FR,198,ManualUpload
LOG00000038,SONG000001,Pandora,2025-01-18T09:45:15,US,245,PartnerSync
LOG00000039,SONG000056,Apple Music,2025-01-18T10:30:00,JP,223,DirectFeed
LOG00000040,SONG000034,Spotify,2025-01-18T11:15:22,AU,256,APIIngestion
LOG00000041,SONG000078,House of Blues,2025-01-18T21:00:00,US,301,ManualUpload
LOG00000042,SONG000012,iHeartRadio,2025-01-18T13:23:45,BR,178,PartnerSync
LOG00000043,SONG000045,SiriusXM,2025-01-18T14:00:00,MX,234,DirectFeed
LOG00000044,SONG000067,Amazon Music,2025-01-18T15:45:33,US,212,APIIngestion
LOG00000045,SONG000023,YouTube Music,2025-01-18T16:30:15,KR,289,ManualUpload
LOG00000046,SONG000089,Spotify,2025-01-18T17:12:00,IN,198,PartnerSync
LOG00000047,SONG000042,KROQ-FM,2025-01-18T18:00:22,US,312,DirectFeed
LOG00000048,SONG000015,Apple Music,2025-01-19T08:45:45,ES,198,APIIngestion
LOG00000049,SONG000001,Pandora,2025-01-19T09:30:00,IT,245,ManualUpload
LOG00000050,SONG000056,The Roxy,2025-01-19T22:00:00,US,223,PartnerSync
